gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
ABCC4|10257	92.0139	ABCC4|10257	204.2456
ABCC5|10057	6233.5069	ABCC5|10057	771.6581
ABCC6P1|653190	23.7269	ABCC6P1|653190	12.0482
ABCC6P2|730013	28.9352	ABCC6P2|730013	10.9007
ABCC6|368	176.794	ABCC6|368	94.0906
ABCC8|6833	404.5139	lowly_expressed	lowly_expressed
ABCC9|10060	175.6366	ABCC9|10060	749.8566
ABCD1|215	164.3519	ABCD1|215	181.8703
ABCD2|225	7.5231	ABCD2|225	201.3769
ABCD3|5825	1942.7083	ABCD3|5825	1792.8858
ABCD4|5826	173.9005	ABCD4|5826	833.0465
ABCE1|6059	2423.3218	ABCE1|6059	1851.9793
ABCF1|23	1278.0671	ABCF1|23	1119.3345
ABCF2|10061	1394.9653	ABCF2|10061	1061.3884
ABCF3|55324	577.5463	ABCF3|55324	674.6988
ABCG1|9619	736.9792	ABCG1|9619	728.0551
ABCG2|9429	103.8773	ABCG2|9429	458.405
ABHD10|55347	1329.8611	ABHD10|55347	727.4814
ABHD11|83451	528.3565	ABHD11|83451	433.7349
ABHD12|26090	2072.9167	ABHD12|26090	729.7762
ABHD13|84945	511.5741	ABHD13|84945	701.0901
ABHD14A|25864	113.4259	ABHD14A|25864	297.7682
ABHD14B|84836	1557.8704	ABHD14B|84836	2197.9346
ABHD15|116236	174.7685	ABHD15|116236	374.0677
ABHD1|84696	55.5556	ABHD1|84696	15.4905
ABHD2|11057	3696.7593	ABHD2|11057	2776.2478
ABHD3|171586	828.125	ABHD3|171586	244.4062
ABHD4|63874	751.1574	ABHD4|63874	768.7894
ABHD5|51099	1642.0718	ABHD5|51099	1152.0367
ABHD6|57406	23.1481	ABHD6|57406	286.8617
ABHD8|79575	92.8819	ABHD8|79575	208.2616
ABI1|10006	2829.6528	ABI1|10006	1814.4464
ABI2|10152	2667.2454	ABI2|10152	2076.3052
ABI3BP|25890	145.544	ABI3BP|25890	2428.5714
ABI3|51225	54.3981	ABI3|51225	257.0281
ABL1|25	747.3958	ABL1|25	2382.6736
ABL2|27	778.3565	ABL2|27	917.3838
ABLIM1|3983	2308.4491	ABLIM1|3983	6991.3941
ABLIM2|84448	34.1435	ABLIM2|84448	97.533
ABLIM3|22885	2606.4815	ABLIM3|22885	2406.1962
lowly_expressed	lowly_expressed	ABO|28	21.2278
ABP1|26	4765.3356	lowly_expressed	lowly_expressed
ABR|29	1626.4468	ABR|29	1749.2828
ABT1|29777	599.537	ABT1|29777	605.852
ABTB1|80325	148.7269	ABTB1|80325	442.9145
ABTB2|25841	374.7106	ABTB2|25841	115.8921
ACAA1|30	236.1111	ACAA1|30	791.1647
ACAA2|10449	1254.3403	ACAA2|10449	1939.759
ACACA|31	3727.1412	ACACA|31	1546.1847
ACACB|32	233.5069	ACACB|32	2682.1572
ACAD10|80724	411.7477	ACAD10|80724	486.5175
ACAD11|84129	404.4994	ACAD11|84129	461.8302
ACAD8|27034	467.5926	ACAD8|27034	555.938
ACAD9|28976	1038.2089	ACAD9|28976	815.9151
lowly_expressed	lowly_expressed	ACADL|33	107.2863
ACADM|34	1135.4167	ACADM|34	1350.545
ACADSB|36	3439.5255	ACADSB|36	2187.6076
ACADS|35	240.4514	ACADS|35	585.7717
ACADVL|37	1355.0347	ACADVL|37	5050.9983
ACAN|176	13.5995	lowly_expressed	lowly_expressed
ACAP1|9744	11.2847	ACAP1|9744	39.0132
ACAP2|23527	3389.1782	ACAP2|23527	1653.471
ACAP3|116983	171.2963	ACAP3|116983	418.296
ACAT1|38	2662.3264	ACAT1|38	1467.0109
ACAT2|39	774.1233	ACAT2|39	256.5634
ACBD3|64746	3111.1111	ACBD3|64746	1525.5307
ACBD4|79777	117.1875	ACBD4|79777	237.5215
ACBD5|91452	2105.6134	ACBD5|91452	740.1033
ACBD6|84320	175.3472	ACBD6|84320	353.4137
ACBD7|414149	70.3125	ACBD7|414149	53.93
ACCN1|40	5.2083	ACCN1|40	20.654
ACCN2|41	54.9769	ACCN2|41	179.5754
ACCN3|9311	25.1736	lowly_expressed	lowly_expressed
ACCS|84680	86.8056	ACCS|84680	288.0092
ACD|65057	194.1551	ACD|65057	340.218
lowly_expressed	lowly_expressed	ACE2|59272	40.7344
ACER2|340485	64.8148	ACER2|340485	152.0367
ACER3|55331	1846.0648	ACER3|55331	441.1933
ACE|1636	122.1065	ACE|1636	775.6741
lowly_expressed	lowly_expressed	ACHE|43	13.1956
ACIN1|22985	1435.7639	ACIN1|22985	2340.218
ACLY|47	4845.7755	ACLY|47	2273.0924
ACN9|57001	197.6273	ACN9|57001	179.0017
ACO1|48	960.3588	ACO1|48	1870.3385
ACO2|50	1175.5729	ACO2|50	1966.4716
ACOT11|26027	30.9606	ACOT11|26027	41.8818
ACOT13|55856	1462.5839	ACOT13|55856	471.8531
ACOT1|641371	279.8032	ACOT1|641371	466.4372
ACOT2|10965	187.7894	ACOT2|10965	335.0545
ACOT4|122970	288.4838	ACOT4|122970	88.9271
ACOT7|11332	285.0116	ACOT7|11332	263.3391
ACOT8|10005	412.0081	ACOT8|10005	200.2238
ACOT9|23597	430.5556	ACOT9|23597	520.9409
ACOX1|51	2621.7564	ACOX1|51	1629.3746
ACOX2|8309	243.6343	ACOX2|8309	222.6047
ACOX3|8310	434.8958	ACOX3|8310	509.4664
ACP1|52	4991.3194	ACP1|52	1405.0488
ACP2|53	405.0926	ACP2|53	790.0172
ACP5|54	578.125	ACP5|54	558.2329
ACP6|51205	174.7685	ACP6|51205	239.8164
ACPL2|92370	670.4282	ACPL2|92370	358.0034
ACPP|55	28.9352	ACPP|55	18.3592
ACRBP|84519	16.4931	ACRBP|84519	8.0321
ACRC|93953	7.5231	ACRC|93953	25.2438
lowly_expressed	lowly_expressed	ACR|49	9.7533
lowly_expressed	lowly_expressed	ACSBG1|23205	24.0964
ACSF2|80221	249.7106	ACSF2|80221	549.6271
ACSF3|197322	149.8843	ACSF3|197322	287.4355
ACSL1|2180	2128.7616	ACSL1|2180	7750.4303
ACSL3|2181	7551.5046	ACSL3|2181	3523.2358
ACSL4|2182	541.088	ACSL4|2182	1760.1836
ACSL5|51703	275.7523	ACSL5|51703	1140.5622
ACSL6|23305	32.4074	ACSL6|23305	7.4584
ACSM1|116285	111.1111	ACSM1|116285	57.9461
ACSM3|6296	36.8113	ACSM3|6296	157.4756
lowly_expressed	lowly_expressed	ACSM5|54988	147.4469
ACSS1|84532	1688.6574	ACSS1|84532	879.5181
ACSS2|55902	1378.4722	ACSS2|55902	1498.5657
ACSS3|79611	699.9421	ACSS3|79611	378.6575
ACTA1|58	13.8889	ACTA1|58	80.3213
ACTA2|59	3564.8119	ACTA2|59	33954.1824
lowly_expressed	lowly_expressed	ACTBL2|345651	6.8847
ACTB|60	82944.4473	ACTB|60	82504.8766
ACTG1|71	79548.9005	ACTG1|71	56446.3569
ACTG2|72	123.2639	ACTG2|72	11530.1205
ACTL6A|86	1962.0949	ACTL6A|86	779.6902
ACTN1|87	3517.0718	ACTN1|87	7047.619
ACTN2|88	377.8935	lowly_expressed	lowly_expressed
ACTN4|81	7604.0828	ACTN4|81	9410.9524
ACTR10|55860	1293.1134	ACTR10|55860	1352.8399
ACTR1A|10121	2120.3704	ACTR1A|10121	2351.6925
ACTR1B|10120	759.838	ACTR1B|10120	1342.5129
ACTR2|10097	17525.463	ACTR2|10097	5718.8755
ACTR3B|57180	106.4815	ACTR3B|57180	231.2106
ACTR3C|653857	111.4005	ACTR3C|653857	41.3081
ACTR3|10096	8794.8495	ACTR3|10096	3308.6632
ACTR5|79913	335.6481	ACTR5|79913	184.739
ACTR6|64431	1152.4884	ACTR6|64431	629.3746
ACTR8|93973	420.1389	ACTR8|93973	563.9702
ACVR1B|91	1542.5347	ACVR1B|91	1037.292
ACVR1C|130399	7.2338	ACVR1C|130399	909.3517
ACVR1|90	1311.6319	ACVR1|90	1196.2134
ACVR2A|92	236.6898	ACVR2A|92	675.2725
ACVR2B|93	154.5139	ACVR2B|93	310.9581
ACVRL1|94	208.044	ACVRL1|94	1095.8118
ACY1|95	353.8773	ACY1|95	561.6695
lowly_expressed	lowly_expressed	ACY3|91703	50.4877
ACYP1|97	37.9051	ACYP1|97	61.9621
ACYP2|98	176.5046	ACYP2|98	190.4762
ADAL|161823	654.5139	ADAL|161823	212.8514
ADAM10|102	3343.4606	ADAM10|102	2402.1801
lowly_expressed	lowly_expressed	ADAM11|4185	8.6059
ADAM12|8038	2149.5949	ADAM12|8038	465.8635
ADAM15|8751	2268.261	ADAM15|8751	3764.7734
ADAM17|6868	1395.8333	ADAM17|6868	885.829
ADAM19|8728	411.169	ADAM19|8728	96.9593
ADAM21P1|145241	5.4977	lowly_expressed	lowly_expressed
ADAM21|8747	26.9097	ADAM21|8747	7.4584
ADAM22|53616	15.0463	ADAM22|53616	41.8818
ADAM23|8745	12.4421	ADAM23|8745	33.276
ADAM28|10863	33.8542	ADAM28|10863	83.1899
ADAM32|203102	989.0046	ADAM32|203102	37.292
ADAM33|80332	41.6667	ADAM33|80332	821.7843
ADAM6|8755	9533.6863	ADAM6|8755	18711.9105
ADAM8|101	91.1458	ADAM8|101	47.619
ADAM9|8754	7341.4352	ADAM9|8754	2371.1991
ADAMDEC1|27299	79.8611	lowly_expressed	lowly_expressed
ADAMTS10|81794	29.8032	ADAMTS10|81794	113.5972
ADAMTS12|81792	236.1111	ADAMTS12|81792	95.8118
lowly_expressed	lowly_expressed	ADAMTS13|11093	45.3242
ADAMTS14|140766	53.2407	ADAMTS14|140766	15.4905
ADAMTS15|170689	222.2222	ADAMTS15|170689	143.4309
ADAMTS16|170690	66.2616	ADAMTS16|170690	164.6586
ADAMTS17|170691	32.6968	ADAMTS17|170691	21.2278
ADAMTS18|170692	6.3657	ADAMTS18|170692	82.0425
lowly_expressed	lowly_expressed	ADAMTS19|171019	5.1635
ADAMTS1|9510	158.2755	ADAMTS1|9510	4343.6604
ADAMTS2|9509	282.6968	ADAMTS2|9509	617.9002
ADAMTS3|9508	18.5185	ADAMTS3|9508	190.4762
ADAMTS4|9507	161.169	ADAMTS4|9507	138.8411
ADAMTS5|11096	148.7269	ADAMTS5|11096	3031.5548
ADAMTS6|11174	74.9421	ADAMTS6|11174	31.5548
ADAMTS7|11173	48.3218	ADAMTS7|11173	69.9943
lowly_expressed	lowly_expressed	ADAMTS8|11095	41.8818
ADAMTS9|56999	79.5718	ADAMTS9|56999	771.0843
ADAMTSL1|92949	50.6366	ADAMTSL1|92949	313.253
ADAMTSL2|9719	33.2755	ADAMTSL2|9719	55.0775
ADAMTSL3|57188	129.0509	ADAMTSL3|57188	273.0924
ADAMTSL4|54507	29.8032	ADAMTSL4|54507	802.0654
ADAMTSL5|339366	18.5185	ADAMTSL5|339366	34.9971
ADAP1|11033	67.2222	ADAP1|11033	77.0683
ADAP2|55803	186.3426	ADAP2|55803	254.7332
ADARB1|104	242.1875	ADARB1|104	632.2433
ADAR|103	19849.8264	ADAR|103	6706.2536
ADAT1|23536	350.1157	ADAT1|23536	278.2559
ADAT2|134637	221.3542	ADAT2|134637	184.1652
ADAT3|113179	6.0764	ADAT3|113179	23.5227
ADA|100	333.912	ADA|100	109.0075
ADCK1|57143	168.4028	ADCK1|57143	167.5273
ADCK2|90956	736.6898	ADCK2|90956	643.144
ADCK4|79934	442.1296	ADCK4|79934	441.7671
ADCK5|203054	30.6713	ADCK5|203054	53.3563
ADCY10|55811	17.6505	lowly_expressed	lowly_expressed
ADCY1|107	73.4954	ADCY1|107	209.4091
ADCY2|108	9.838	ADCY2|108	97.533
ADCY3|109	525.7639	ADCY3|109	1419.0706
ADCY4|196883	57.8704	ADCY4|196883	659.782
lowly_expressed	lowly_expressed	ADCY5|111	317.2691
ADCY6|112	1099.8264	ADCY6|112	2222.031
ADCY7|113	507.8125	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADCY8|114	12.6219
ADCY9|115	741.3194	ADCY9|115	722.3178
lowly_expressed	lowly_expressed	ADCYAP1R1|117	8.6059
lowly_expressed	lowly_expressed	ADCYAP1|116	34.9971
ADC|113451	44.2708	ADC|113451	138.2674
ADD1|118	3261.8634	ADD1|118	5955.2496
ADD2|119	9.5486	ADD2|119	53.93
ADD3|120	589.6991	ADD3|120	3301.7785
lowly_expressed	lowly_expressed	ADH1A|124	144.0046
lowly_expressed	lowly_expressed	ADH1B|125	17830.1779
lowly_expressed	lowly_expressed	ADH1C|126	187.0338
lowly_expressed	lowly_expressed	ADH4|127	65.4045
ADH5|128	1803.5301	ADH5|128	3586.9191
lowly_expressed	lowly_expressed	ADH6|130	5.1635
ADHFE1|137872	28.3565	ADHFE1|137872	159.4951
ADI1|55256	974.2477	ADI1|55256	1442.3408
ADIPOQ|9370	9.838	ADIPOQ|9370	10542.1687
ADIPOR1|51094	7001.7361	ADIPOR1|51094	2007.4584
ADIPOR2|79602	8629.919	ADIPOR2|79602	2643.7177
ADK|132	429.3981	ADK|132	494.5496
ADM2|79924	34.7222	ADM2|79924	40.1606
ADM|133	19.9653	ADM|133	769.3632
ADNP2|22850	870.9491	lowly_expressed	lowly_expressed
ADNP|23394	6879.919	ADNP|23394	2599.541
ADORA1|134	111.9792	ADORA1|134	407.9174
ADORA2A|135	28.3565	ADORA2A|135	44.1767
ADORA2B|136	7.5231	ADORA2B|136	113.5972
ADORA3|140	213.5417	ADORA3|140	234.6529
ADO|84890	1385.706	ADO|84890	747.5617
ADPGK|83440	1313.0787	ADPGK|83440	829.4435
ADPRHL1|113622	83.912	ADPRHL1|113622	103.8439
ADPRHL2|54936	261.2847	ADPRHL2|54936	528.3993
ADPRH|141	603.588	ADPRH|141	491.681
lowly_expressed	lowly_expressed	ADRA1A|148	13.7694
lowly_expressed	lowly_expressed	ADRA1B|147	17.2117
lowly_expressed	lowly_expressed	ADRA1D|146	9.7533
ADRA2A|150	306.4236	ADRA2A|150	844.5209
ADRA2C|152	72.338	ADRA2C|152	82.6162
lowly_expressed	lowly_expressed	ADRB1|153	36.7183
ADRB2|154	10.9954	ADRB2|154	390.7057
ADRBK1|156	438.0787	ADRBK1|156	1497.992
ADRBK2|157	501.7361	ADRBK2|157	1567.9862
ADRM1|11047	728.8773	ADRM1|11047	859.4378
ADSL|158	655.9606	ADSL|158	941.4802
ADSSL1|122622	17.0718	ADSSL1|122622	106.7126
ADSS|159	2937.2106	ADSS|159	1600.1147
AEBP1|165	5228.0093	AEBP1|165	7877.7969
AEBP2|121536	1039.3519	AEBP2|121536	1045.3242
AEN|64782	519.3866	AEN|64782	574.8709
AES|166	3383.1019	AES|166	5422.2605
AFAP1L1|134265	112.5579	AFAP1L1|134265	714.2857
AFAP1L2|84632	168.6921	AFAP1L2|84632	1230.6368
AFAP1|60312	646.412	AFAP1|60312	1444.0505
AFF1|4299	2073.206	AFF1|4299	2693.0579
AFF2|2334	6.6551	AFF2|2334	39.5869
AFF3|3899	4750.2894	AFF3|3899	1172.117
AFF4|27125	7998.2639	AFF4|27125	3351.6925
AFG3L1|172	131.6551	AFG3L1|172	201.9507
AFG3L2|10939	1107.8993	AFG3L2|10939	1304.5668
AFMID|125061	267.0718	AFMID|125061	515.2037
lowly_expressed	lowly_expressed	AFP|174	100.9753
AFTPH|54812	4945.3125	AFTPH|54812	1581.1819
AG2|387763	38.1944	AG2|387763	309.2369
AGAP11|119385	8.6806	AGAP11|119385	143.012
AGAP1|116987	581.0185	AGAP1|116987	597.8199
AGAP2|116986	23.2089	AGAP2|116986	35.8061
AGAP3|116988	350.1157	AGAP3|116988	982.2146
AGAP4|119016	94.9074	AGAP4|119016	220.3098
AGAP5|729092	87.0284	AGAP5|729092	31.2794
AGAP6|414189	62.7894	AGAP6|414189	137.6936
AGAP7|653268	8.1019	AGAP7|653268	7.4584
AGAP8|728404	27.4884	AGAP8|728404	34.4234
AGA|175	907.9861	AGA|175	489.3861
AGBL2|79841	65.1042	AGBL2|79841	16.638
AGBL3|340351	8.9699	AGBL3|340351	5.1635
AGBL4|84871	8.1019	AGBL4|84871	6.311
AGBL5|60509	886.5799	AGBL5|60509	745.3242
AGER|177	8.1019	AGER|177	34.9971
AGFG1|3267	2686.9213	AGFG1|3267	1729.7762
AGFG2|3268	331.5972	AGFG2|3268	505.4504
AGGF1|55109	2026.0417	AGGF1|55109	944.3488
AGK|55750	984.375	AGK|55750	543.8898
AGL|178	17772.2801	AGL|178	1114.171
AGMAT|79814	5.787	AGMAT|79814	14.9168
AGPAT1|10554	2713.8802	AGPAT1|10554	1845.3987
AGPAT2|10555	234.9537	AGPAT2|10555	1635.1119
AGPAT3|56894	2490.162	AGPAT3|56894	1559.3804
AGPAT4|56895	122.6852	AGPAT4|56895	271.9449
AGPAT5|55326	797.4537	AGPAT5|55326	814.6873
AGPAT6|137964	983.2176	AGPAT6|137964	1747.5617
AGPAT9|84803	35.0116	AGPAT9|84803	329.891
AGPHD1|123688	110.8218	AGPHD1|123688	79.7476
AGPS|8540	711.2269	AGPS|8540	1211.1302
AGR2|10551	6953.4144	AGR2|10551	1540.4475
AGR3|155465	2410.0116	AGR3|155465	367.7567
AGRN|375790	1603.2986	AGRN|375790	3698.2215
AGTPBP1|23287	390.9144	AGTPBP1|23287	447.5043
AGTR1|185	61.0532	AGTR1|185	502.5818
AGTRAP|57085	1027.1991	AGTRAP|57085	645.4389
AGT|183	58.7384	AGT|183	29.2599
AGXT2L1|64850	8.3912	lowly_expressed	lowly_expressed
AGXT2L2|85007	179.8003	AGXT2L2|85007	466.6896
AHCTF1|25909	3050.3472	AHCTF1|25909	1506.0241
AHCYL1|10768	4401.9097	AHCYL1|10768	3633.9644
AHCYL2|23382	1228.588	AHCYL2|23382	584.6242
AHCY|191	6349.8264	AHCY|191	2766.4945
AHDC1|27245	304.6875	AHDC1|27245	1011.4745
AHI1|54806	798.0324	AHI1|54806	343.6604
AHNAK2|113146	364.0046	AHNAK2|113146	1347.6764
AHNAK|79026	17103.8773	AHNAK|79026	54301.7785
AHRR|57491	41.956	AHRR|57491	15.4905
AHR|196	858.7963	AHR|196	3973.6087
AHSA1|10598	1850.6944	AHSA1|10598	1425.1291
AHSA2|130872	159.7222	AHSA2|130872	338.4968
AIDA|64853	1978.3854	AIDA|64853	1276.5806
AIF1L|83543	383.3912	AIF1L|83543	2578.3133
AIF1|199	123.5532	AIF1|199	593.8038
AIFM1|9131	1305.2662	AIFM1|9131	570.8548
AIFM2|84883	247.1065	AIFM2|84883	771.6581
lowly_expressed	lowly_expressed	AIFM3|150209	6.0643
AIG1|51390	1134.2593	AIG1|51390	913.3678
AIM1L|55057	6.9444	lowly_expressed	lowly_expressed
AIM1|202	3371.8171	AIM1|202	2851.4056
AIM2|9447	16.7824	AIM2|9447	8.6059
AIMP1|9255	1380.0058	AIMP1|9255	1211.899
AIMP2|7965	513.099	AIMP2|7965	326.5806
AIP|9049	128.1829	AIP|9049	668.3878
AJAP1|55966	6.9444	AJAP1|55966	29.8336
AK1|203	175.3472	AK1|203	442.3408
AK2|204	2251.7361	AK2|204	2354.5611
AK3L1|205	493.3449	AK3L1|205	522.6621
AK3|50808	1504.919	AK3|50808	2500.8606
AK5|26289	30.3819	AK5|26289	2378.0838
AK7|122481	7.5231	AK7|122481	30.4073
AKAP10|11216	617.4769	AKAP10|11216	535.284
AKAP11|11215	1835.3588	AKAP11|11215	1925.4159
AKAP12|9590	317.9977	AKAP12|9590	3081.4687
AKAP13|11214	2675.6366	AKAP13|11214	3762.4785
AKAP1|8165	2175.3472	AKAP1|8165	1930.5795
AKAP2|11217	242.5174	AKAP2|11217	1763.5628
AKAP3|10566	6.3657	AKAP3|10566	23.5227
AKAP5|9495	91.1458	AKAP5|9495	103.2702
AKAP6|9472	18.5185	AKAP6|9472	250.1434
AKAP7|9465	183.7384	AKAP7|9465	285.1406
AKAP8L|26993	168.4028	AKAP8L|26993	506.5978
AKAP8|10270	278.0671	AKAP8|10270	650.6024
AKAP9|10142	3220.1968	AKAP9|10142	2113.0235
AKD1|221264	520.544	AKD1|221264	133.6776
AKIRIN1|79647	1568.5764	AKIRIN1|79647	1558.8067
AKIRIN2|55122	1883.6806	AKIRIN2|55122	798.0493
AKNA|80709	167.2454	AKNA|80709	615.0316
AKR1A1|10327	1363.1366	AKR1A1|10327	1609.2943
AKR1B10|57016	75.5208	lowly_expressed	lowly_expressed
AKR1B1|231	329.5718	AKR1B1|231	1014.9168
AKR1C1|1645	85.9375	AKR1C1|1645	973.6087
AKR1C2|1646	306.1343	AKR1C2|1646	702.8112
AKR1C3|8644	415.2199	AKR1C3|8644	1476.1905
AKR1E2|83592	31.5394	AKR1E2|83592	31.5548
AKR7A2|8574	660.5903	AKR7A2|8574	966.1503
lowly_expressed	lowly_expressed	AKR7A3|22977	44.1767
lowly_expressed	lowly_expressed	AKR7L|246181	14.9168
AKT1S1|84335	1197.0486	AKT1S1|84335	777.3953
AKT1|207	1326.0995	AKT1|207	2627.6535
AKT2|208	1687.2106	AKT2|208	2062.5359
AKT3|10000	311.3426	AKT3|10000	1222.6047
AKTIP|64400	1338.2523	AKTIP|64400	749.7819999999999
ALAD|210	439.8148	ALAD|210	1427.424
ALAS1|211	1362.2685	ALAS1|211	868.6173
lowly_expressed	lowly_expressed	ALB|213	4441.7671
ALCAM|214	3398.7269	ALCAM|214	3606.9994
ALDH16A1|126133	302.3727	ALDH16A1|126133	349.9713
ALDH18A1|5832	3000.2894	ALDH18A1|5832	1544.4636
ALDH1A1|216	267.6505	ALDH1A1|216	2199.6558
ALDH1A2|8854	6.9444	ALDH1A2|8854	402.7539
ALDH1A3|220	115.3733	ALDH1A3|220	3606.3224
ALDH1B1|219	993.9236	ALDH1B1|219	674.6988
lowly_expressed	lowly_expressed	ALDH1L1|10840	407.9174
ALDH1L2|160428	379.0509	ALDH1L2|160428	259.8967
ALDH2|217	187.5	ALDH2|217	4399.3115
lowly_expressed	lowly_expressed	ALDH3A1|218	45.8979
ALDH3A2|224	1783.2755	ALDH3A2|224	1971.8876
ALDH3B1|221	67.419	ALDH3B1|221	180.1492
ALDH3B2|222	3006.9444	ALDH3B2|222	907.6305
ALDH4A1|8659	600.4051	ALDH4A1|8659	726.9076
ALDH5A1|7915	1699.9421	ALDH5A1|7915	586.9191
ALDH6A1|4329	446.3947	ALDH6A1|4329	494.6758
ALDH7A1|501	1823.7847	ALDH7A1|501	2048.7665
ALDH8A1|64577	17.6505	ALDH8A1|64577	20.0803
ALDH9A1|223	4872.1065	ALDH9A1|223	3528.973
ALDOA|226	21492.4769	ALDOA|226	11501.4343
ALDOC|230	253.4722	ALDOC|230	1062.5359
ALG10B|144245	793.6921	ALG10B|144245	399.8853
ALG10|84920	299.1898	ALG10|84920	94.0906
ALG11|440138	21.7014	ALG11|440138	8.0321
ALG12|79087	209.7801	ALG12|79087	393.5743
ALG13|79868	689.5255	ALG13|79868	559.9541
ALG14|199857	259.83799999999997	ALG14|199857	203.0981
ALG1L|200810	270.8738	ALG1L|200810	24.1251
ALG1|56052	734.3663	ALG1|56052	466.7355
ALG2|85365	864.0046	ALG2|85365	832.4727
ALG3|10195	1383.3912	ALG3|10195	515.7774
ALG5|29880	450.5208	ALG5|29880	674.6988
ALG6|29929	443.287	ALG6|29929	302.3523
ALG8|79053	5760.706	ALG8|79053	671.2565
ALG9|79796	541.0880000000001	ALG9|79796	537.0052
ALKBH1|8846	169.5602	ALKBH1|8846	206.5404
ALKBH2|121642	165.2199	ALKBH2|121642	230.6368
ALKBH3|221120	519.6759	ALKBH3|221120	387.8371
ALKBH4|54784	99.5689	ALKBH4|54784	180.6139
ALKBH5|54890	1913.7674	ALKBH5|54890	2287.3896
ALKBH6|84964	96.3542	ALKBH6|84964	59.0935
ALKBH7|84266	161.16899999999998	ALKBH7|84266	441.7671
ALKBH8|91801	211.8056	ALKBH8|91801	274.8135
lowly_expressed	lowly_expressed	ALK|238	5.7372
ALMS1P|200420	17.9398	lowly_expressed	lowly_expressed
ALMS1|7840	1365.7407	ALMS1|7840	555.3643
ALOX12P2|245	42.2454	ALOX12P2|245	14.3431
lowly_expressed	lowly_expressed	ALOX12|239	5.7774
ALOX15B|247	59.3171	ALOX15B|247	117.6133
ALOX15|246	289.6412	ALOX15|246	13.7694
