gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
METTL6|131965	205.9509	METTL6|131965	249.7729
METTL7A|25840	1530.0401	METTL7A|25840	4026.4309999999996
METTL7B|196410	30.0171	METTL7B|196410	10.242
METTL8|79828	286.8304	METTL8|79828	507.8054
METTL9|51108	1815.6197	METTL9|51108	2192.781
MET|4233	398.5608	MET|4233	1794.9946
MEX3A|92312	1384.1234	MEX3A|92312	428.8428
MEX3B|84206	129.2404	MEX3B|84206	87.2223
MEX3C|51320	1125.2256	MEX3C|51320	1747.7492
MEX3D|399664	287.2473	MEX3D|399664	253.0767
MFAP1|4236	963.4666	MFAP1|4236	1054.5965
MFAP2|4237	2015.734	MFAP2|4237	151.6478
MFAP3L|9848	449.4232	MFAP3L|9848	605.6001
MFAP3|4238	1198.6009	MFAP3|4238	1320.5584
MFAP4|4239	1512.5301	MFAP4|4239	2510.2833
MFAP5|8076	2946.6821	MFAP5|8076	347.8979
MFF|56947	956.7962	MFF|56947	1058.2308
MFGE8|4240	3506.1681	MFGE8|4240	10910.7128
MFHAS1|9258	212.2045	MFHAS1|9258	184.6865
MFI2|4241	121.3193	MFI2|4241	299.0006
MFN1|55669	801.7076	MFN1|55669	990.171
MFN2|9927	3941.8335	MFN2|9927	2531.4281
MFNG|4242	265.9852	MFNG|4242	238.8701
MFRP|83552	638.6979	MFRP|83552	138.7627
MFSD10|10227	1342.8499	MFSD10|10227	518.3778
MFSD11|79157	911.1535	MFSD11|79157	474.6907
MFSD1|64747	1696.8019	MFSD1|64747	1976.0469
MFSD2A|84879	509.0406	MFSD2A|84879	38.9857
MFSD2B|388931	32.9355	MFSD2B|388931	7.9293
MFSD3|113655	235.968	MFSD3|113655	96.4731
MFSD4|148808	80.8795	MFSD4|148808	331.3785
MFSD5|84975	1349.5204	MFSD5|84975	464.855
MFSD6L|162387	69.6231	MFSD6L|162387	67.399
MFSD6|54842	1264.4718	MFSD6|54842	1959.8579
MFSD7|84179	142.3771	MFSD7|84179	103.1734
MFSD8|256471	273.0725	MFSD8|256471	463.2031
MFSD9|84804	161.759	MFSD9|84804	204.8402
MGAM|8972	72.1245	MGAM|8972	5.6166
MGAT1|4245	3437.3788	MGAT1|4245	1806.5582
MGAT2|4247	758.3496	MGAT2|4247	571.5702
MGAT3|4248	115.0657	MGAT3|4248	176.4269
MGAT4A|11320	1564.2262	MGAT4A|11320	1992.8967
MGAT4B|11282	1489.1834	MGAT4B|11282	1042.9735
lowly_expressed	lowly_expressed	MGAT4C|25834	12.2243
MGAT5B|146664	70.8738	lowly_expressed	lowly_expressed
MGAT5|4249	338.1097	MGAT5|4249	559.6762
MGA|23269	1431.2337	MGA|23269	2264.1447
MGC12916|84815	7.0874	MGC12916|84815	8.9205
MGC12982|84793	42.1074	MGC12982|84793	15.8586
lowly_expressed	lowly_expressed	MGC14436|84983	8.5901
MGC16121|84848	8.3381	MGC16121|84848	11.5636
MGC16142|84849	7.9212	MGC16142|84849	13.2155
MGC16275|85001	45.8595	MGC16275|85001	53.5228
MGC16384|114130	12.0902	MGC16384|114130	18.1713
MGC21881|389741	138.8292	MGC21881|389741	195.9197
MGC23270|196872	36.2707	MGC23270|196872	31.3868
MGC23284|197187	31.6848	MGC23284|197187	27.4222
MGC2752|65996	525.2999	MGC2752|65996	602.6266
MGC29506|51237	353.1182	MGC29506|51237	195.5893
lowly_expressed	lowly_expressed	MGC3771|81854	8.8643
lowly_expressed	lowly_expressed	MGC42105|167359	8.5901
MGC45800|90768	27.9326	MGC45800|90768	8.5901
MGC57346|401884	104.2178	MGC57346|401884	306.8374
MGC70857|414919	351.8675	MGC70857|414919	184.0258
MGC72080|389538	84.0605	MGC72080|389538	22.169
MGC87042|256227	12.0902	MGC87042|256227	11.2332
MGEA5|10724	3665.8426	MGEA5|10724	5778.8056
MGLL|11343	2072.8499	MGLL|11343	1777.4841
MGMT|4255	238.4695	MGMT|4255	200.2148
MGP|4256	8226.7795	MGP|4256	69450.0702
MGRN1|23295	2076.6021	MGRN1|23295	901.9575
MGST1|4257	5405.1688	MGST1|4257	1616.2551
MGST2|4258	1255.2999	MGST2|4258	634.0134
MGST3|4259	2669.8574	MGST3|4259	1008.3423
MIA3|375056	8234.7006	MIA3|375056	2690.3444
MIAT|440823	328.9378	MIAT|440823	165.382
MIA|8190	66.3545	MIA|8190	334.134
MIB1|57534	1795.1914	MIB1|57534	3062.0302
MIB2|142678	187.6071	MIB2|142678	198.5628
MICAL1|64780	536.1686	MICAL1|64780	381.5974
MICAL2|9645	3767.5673	MICAL2|9645	823.9861
MICAL3|57553	869.2462	MICAL3|57553	1704.7989
MICALCL|84953	47.943999999999996	MICALCL|84953	67.7294
MICALL1|85377	562.4044	MICALL1|85377	942.2648
MICALL2|79778	579.4975	MICALL2|79778	177.0876
MICA|4276	341.028	MICA|4276	258.6933
MICB|4277	113.815	MICB|4277	77.9714
MID1IP1|58526	454.0092	MID1IP1|58526	226.9761
MID1|4281	205.1171	MID1|4281	1134.2199
MID2|11043	552.8156	MID2|11043	984.2239999999999
MIDN|90007	3376.0939	MIDN|90007	919.7985
MIER1|57708	560.7368	MIER1|57708	1418.3529999999998
MIER2|54531	481.108	MIER2|54531	282.8116
MIER3|166968	488.1953	MIER3|166968	846.7829
MIF4GD|57409	1593.6597	MIF4GD|57409	365.6926
MIF|4282	4612.9707	MIF|4282	543.0974
MIIP|60672	707.4872	MIIP|60672	181.7131
MINA|84864	434.0478	MINA|84864	993.0255
MINK1|50488	1722.6208	MINK1|50488	1958.5628
MINPP1|9562	431.4963	MINPP1|9562	449.9876
MIOS|54468	602.8441	MIOS|54468	863.3022
MIPEP|4285	996.819	MIPEP|4285	501.1977
MIPOL1|145282	126.73899999999999	MIPOL1|145282	144.7097
MIR155HG|114614	16.6762	MIR155HG|114614	6.9381
MIR17HG|407975	30.434	MIR17HG|407975	83.588
MIS12|79003	468.6008	MIS12|79003	543.8176
MITD1|129531	146.7504	MITD1|129531	243.1651
MITF|4286	532.3872	MITF|4286	422.2351
MKI67IP|84365	694.1462	MKI67IP|84365	859.6614
MKI67|4288	2638.1726	MKI67|4288	586.4376
MKKS|8195	1106.048	MKKS|8195	803.1717
MKL1|57591	1385.3742	MKL1|57591	1094.5734
MKL2|57496	2559.7945	MKL2|57496	3902.8661
MKLN1|4289	1233.6209	MKLN1|4289	2822.4994
MKNK1|8569	631.6105	MKNK1|8569	479.3921
MKNK2|2872	2729.8916	MKNK2|2872	2035.8470000000002
MKRN1|23608	2917.4987	MKRN1|23608	3322.7059
MKRN2|23609	644.9515	MKRN2|23609	803.8325
MKS1|54903	1339.0977	MKS1|54903	361.4438
MKX|283078	13.7579	MKX|283078	11.8939
lowly_expressed	lowly_expressed	MLANA|2315	5.6166
MLC1|23209	6.6705	lowly_expressed	lowly_expressed
MLEC|9761	4686.4252	MLEC|9761	5555.1334
MLF1IP|79682	355.5154	MLF1IP|79682	156.3426
MLF1|4291	222.6271	MLF1|4291	366.73
MLF2|8079	5058.721	MLF2|8079	2184.5214
MLH1|4292	852.57	MLH1|4292	678.6157
MLH3|27030	447.7556	MLH3|27030	694.8047
MLKL|197259	181.3535	MLKL|197259	173.7838
MLL2|8085	2782.9511	MLL2|8085	3848.0086
MLL3|58508	2516.8534	MLL3|58508	5542.9091
MLL4|9757	1321.5877	MLL4|9757	1076.4021
MLL5|55904	1958.2011	MLL5|55904	4066.8506
MLLT10|8028	413.5694	MLLT10|8028	965.3919
MLLT11|10962	226.3792	MLLT11|10962	89.2046
MLLT1|4298	2092.4444	MLLT1|4298	1163.6243
MLLT3|4300	177.6014	MLLT3|4300	616.1725
MLLT4|4301	2187.9156	MLLT4|4301	5578.9213
MLLT6|4302	1795.1914	MLLT6|4302	4736.4335
MLL|4297	1744.3291	MLL|4297	5717.684
MLPH|79083	5368.4812	MLPH|79083	2573.7177
MLST8|64223	780.3621	MLST8|64223	489.9546
MLXIPL|51085	35.8538	MLXIPL|51085	67.0686
MLXIP|22877	1489.6003	MLXIP|22877	1297.7616
MLX|6945	762.1684	MLX|6945	1008.6595
MLYCD|23417	307.6756	MLYCD|23417	243.1651
MMAA|166785	157.59	MMAA|166785	365.7388
MMAB|326625	486.5277	MMAB|326625	555.0508
MMACHC|25974	100.47399999999999	MMACHC|25974	188.3208
MMADHC|27249	1847.3045	MMADHC|27249	1900.0578
MMD|23531	645.3684	MMD|23531	571.9006
MMEL1|79258	51.371	lowly_expressed	lowly_expressed
MME|4311	731.6677	MME|4311	6975.1383
MMGT1|93380	695.8139	MMGT1|93380	1083.0098
MMP10|4319	196.3621	MMP10|4319	13.5459
MMP11|4320	17382.4225	MMP11|4320	59.1393
MMP12|4321	68.3724	MMP12|4321	9.9116
MMP13|4322	817.9669	lowly_expressed	lowly_expressed
MMP14|4323	12817.3166	MMP14|4323	3476.0056
MMP15|4324	400.6454	MMP15|4324	276.5342
MMP16|4325	245.5568	MMP16|4325	330.05699999999996
MMP17|4326	137.5785	MMP17|4326	24.7791
MMP19|4327	587.8356	MMP19|4327	430.4948
MMP1|4312	1088.9549	lowly_expressed	lowly_expressed
MMP23B|8510	79.2119	MMP23B|8510	17.8409
MMP24|10893	179.6859	MMP24|10893	297.3486
MMP25|64386	35.7621	MMP25|64386	19.6944
lowly_expressed	lowly_expressed	MMP27|64066	9.9116
MMP28|79148	134.2433	MMP28|79148	99.777
MMP2|4313	19905.9463	MMP2|4313	6771.9501
MMP3|4314	471.9361	MMP3|4314	13.5459
MMP7|4316	892.176	MMP7|4316	1502.2714
MMP8|4317	12.924000000000001	lowly_expressed	lowly_expressed
MMP9|4318	1558.3896	MMP9|4318	183.0346
MMRN1|22915	398.1439	MMRN1|22915	1083.6706
MMRN2|79812	956.7962	MMRN2|79812	1344.0159
MMS19|64210	1509.1948	MMS19|64210	1541.5875
MN1|4330	548.2296	MN1|4330	127.1991
MNAT1|4331	186.7733	MNAT1|4331	221.3595
MND1|84057	27.5157	MND1|84057	18.1713
MNDA|4332	236.8018	MNDA|4332	121.2522
MNS1|55329	33.3524	MNS1|55329	143.7185
MNT|4335	788.7836	MNT|4335	516.3955
MOAP1|64112	961.799	MOAP1|64112	968.3654
MOB2|81532	456.9275	MOB2|81532	407.69800000000004
MOBKL1A|92597	695.8139	MOBKL1A|92597	1430.247
MOBKL1B|55233	797.1217	MOBKL1B|55233	905.9222
MOBKL2A|126308	1930.6854	MOBKL2A|126308	857.0249
MOBKL2B|79817	177.1845	MOBKL2B|79817	887.7509
MOBKL2C|148932	368.1268	MOBKL2C|148932	573.8829
MOBKL3|25843	650.3713	MOBKL3|25843	1084.001
MOCOS|55034	259.7316	MOCOS|55034	213.4302
MOCS1|4337	325.4483	MOCS1|4337	1594.4462
MOCS2|4338	610.7653	MOCS2|4338	782.3573
MOCS3|27304	338.1097	MOCS3|27304	234.2447
MOGAT2|80168	46.6933	MOGAT2|80168	29.4045
MOGS|7841	1090.2057	MOGS|7841	914.8427
MON1A|84315	153.004	MON1A|84315	112.3317
MON1B|22879	786.6991	MON1B|22879	715.6191
MON2|23041	1012.2445	MON2|23041	1916.9076
MORC2|22880	1219.0292	MORC2|22880	913.5211
MORC3|23515	655.791	MORC3|23515	1433.2205
MORC4|79710	755.4312	MORC4|79710	583.7945
MORF4L1|10933	3247.6872	MORF4L1|10933	3817.6262
MORF4L2|9643	5654.0609	MORF4L2|9643	4206.8159
MORN1|79906	72.9583	MORN1|79906	78.6322
MORN2|729967	146.7504	MORN2|729967	182.0434
MORN3|283385	6.2536	MORN3|283385	15.5282
MORN4|118812	185.1057	MORN4|118812	257.3718
MOSC1|64757	541.1422	MOSC1|64757	406.0461
MOSC2|54996	282.2444	MOSC2|54996	267.9442
MOSPD1|56180	234.7173	MOSPD1|56180	292.0624
MOSPD2|158747	220.1257	MOSPD2|158747	395.1433
MOSPD3|64598	444.8373	MOSPD3|64598	169.1583
MOV10L1|54456	16.6762	MOV10L1|54456	6.9381
MOV10|4343	978.4752	MOV10|4343	853.3906
MOXD1|26002	217.2073	MOXD1|26002	107.0455
MPDU1|9526	2141.6392	MPDU1|9526	662.7571
MPDZ|8777	926.779	MPDZ|8777	1887.1727
MPEG1|219972	1169.8344	MPEG1|219972	1034.7733
MPG|4350	745.0086	MPG|4350	353.5145
MPHOSPH10|10199	618.2696	MPHOSPH10|10199	948.2118
MPHOSPH6|10200	451.9246	MPHOSPH6|10200	435.1202
MPHOSPH8|54737	860.9081	MPHOSPH8|54737	1787.0653
MPHOSPH9|10198	159.6745	MPHOSPH9|10198	190.9639
MPI|4351	740.0058	MPI|4351	705.7074
MPL|4352	16.2593	MPL|4352	33.6995
MPND|84954	397.3101	MPND|84954	225.6546
MPO|4353	19.5945	MPO|4353	9.5812
MPP1|4354	475.6882	MPP1|4354	404.0638
MPP2|4355	40.8567	MPP2|4355	167.8368
MPP3|4356	40.8567	MPP3|4356	53.5228
MPP5|64398	596.5906	MPP5|64398	1439.4978
MPP6|51678	79.2119	MPP6|51678	119.6002
MPP7|143098	437.333	MPP7|143098	993.8052
MPPE1|65258	460.2627	MPPE1|65258	611.8774
lowly_expressed	lowly_expressed	MPPED1|758	29.0741
MPPED2|744	30.0171	MPPED2|744	170.1495
MPRIP|23164	1752.6671	MPRIP|23164	2168.002
MPST|4357	780.8624	MPST|4357	426.1997
MPV17L2|84769	325.6025	MPV17L2|84769	121.9129
MPV17L|255027	10.0057	MPV17L|255027	187.3296
MPV17|4358	710.8224	MPV17|4358	545.1392
MPZL1|9019	6850.1603	MPZL1|9019	7796.151
MPZL2|10205	248.4752	MPZL2|10205	864.9542
MPZL3|196264	36.6876	MPZL3|196264	106.0543
MPZ|4359	15.8424	MPZ|4359	37.9945
MR1|3140	306.4249	MR1|3140	281.1597
MRAP2|112609	44.6088	MRAP2|112609	149.3351
MRAP|56246	26.3067	MRAP|56246	14.6196
MRAS|22808	721.6619	MRAS|22808	1617.9070000000002
MRC1|4360	262.233	MRC1|4360	349.8802
MRC2|9902	5088.7382	MRC2|9902	2121.7477
MRE11A|4361	315.1799	MRE11A|4361	1074.4198
MREG|55686	860.9081	MREG|55686	1184.7493
MRFAP1L1|114932	1246.128	MRFAP1L1|114932	1718.3448
MRFAP1|93621	5302.1933	MRFAP1|93621	5236.64
MRGPRE|116534	6.6705	lowly_expressed	lowly_expressed
MRGPRF|116535	115.4826	MRGPRF|116535	288.0978
MRI1|84245	424.8258	MRI1|84245	465.1854
MRM1|79922	60.0343	MRM1|79922	39.9769
MRO|83876	45.0257	MRO|83876	28.0829
MRP63|78988	867.8621	MRP63|78988	468.1589
MRPL10|124995	682.056	MRPL10|124995	895.3498
MRPL11|65003	640.3655	MRPL11|65003	494.5899
MRPL12|6182	727.9155	MRPL12|6182	294.3752
MRPL13|28998	585.3341	MRPL13|28998	383.9101
MRPL14|64928	705.4027	MRPL14|64928	356.48800000000006
MRPL15|29088	663.2953	MRPL15|29088	510.7789
MRPL16|54948	529.8858	MRPL16|54948	510.1181
MRPL17|63875	1146.9047	MRPL17|63875	495.5811
MRPL18|29074	928.4467	MRPL18|29074	563.6409
MRPL19|9801	1109.8002	MRPL19|9801	1268.0268
MRPL1|65008	217.2073	MRPL1|65008	361.7742
MRPL20|55052	4451.9913	MRPL20|55052	842.0748
MRPL21|219927	622.0217	MRPL21|219927	419.592
MRPL22|29093	338.9435	MRPL22|29093	288.0978
MRPL23|6150	579.4975	MRPL23|6150	215.743
MRPL24|79590	1507.1103	MRPL24|79590	605.9305
MRPL27|51264	4653.4897	MRPL27|51264	424.2174
MRPL28|10573	655.3741	MRPL28|10573	395.1433
MRPL2|51069	309.3433	MRPL2|51069	317.5023
MRPL30|51263	685.8081	MRPL30|51263	1102.6580000000001
MRPL32|64983	867.5786	MRPL32|64983	680.5980000000001
MRPL33|9553	389.3889	MRPL33|9553	419.2616
MRPL34|64981	425.2427	MRPL34|64981	248.1209
MRPL35|51318	928.0298	MRPL35|51318	931.6924
MRPL36|64979	515.7111	MRPL36|64979	206.4921
MRPL37|51253	1996.1395	MRPL37|51253	1052.2838
MRPL38|64978	2041.0985	MRPL38|64978	439.63
MRPL39|54148	266.4021	MRPL39|54148	364.7477
MRPL3|11222	1635.1	MRPL3|11222	1374.4115
MRPL40|64976	557.4015	MRPL40|64976	418.2704
MRPL41|64975	525.7168	MRPL41|64975	148.6743
MRPL42P5|359821	5.7533	MRPL42P5|359821	8.7156
MRPL42|28977	531.5534	MRPL42|28977	637.6476
MRPL43|84545	1101.1953	MRPL43|84545	756.8778
MRPL44|65080	650.3713	MRPL44|65080	542.8265
MRPL45|84311	624.5232	MRPL45|84311	1333.4435
MRPL46|26589	333.9406	MRPL46|26589	324.11
MRPL47|57129	492.7813	MRPL47|57129	371.6858
MRPL48|51642	298.5037	MRPL48|51642	361.1134
MRPL49|740	1541.7134	MRPL49|740	1322.5407
MRPL4|51073	792.9526	MRPL4|51073	388.8659
MRPL50|54534	436.4992	MRPL50|54534	394.1521
MRPL51|51258	758.3496	MRPL51|51258	932.0228
MRPL52|122704	531.5534	MRPL52|122704	226.9761
MRPL53|116540	482.2336	MRPL53|116540	144.0952
MRPL54|116541	491.9475	MRPL54|116541	315.5199
MRPL55|128308	605.3456	MRPL55|128308	206.4921
MRPL9|65005	1236.1139	MRPL9|65005	778.6471
MRPS10|55173	642.867	MRPS10|55173	749.9794
MRPS11|64963	664.546	MRPS11|64963	335.6736
MRPS12|6183	516.5449	MRPS12|6183	193.9374
MRPS14|63931	596.1736	MRPS14|63931	329.3962
MRPS15|64960	1996.5564	MRPS15|64960	533.906
MRPS16|51021	2014.4833	MRPS16|51021	1210.2089999999998
MRPS17|51373	224.1988	MRPS17|51373	207.7806
MRPS18A|55168	780.0286	MRPS18A|55168	445.0318
MRPS18B|28973	1261.5535	MRPS18B|28973	1286.5285
MRPS18C|51023	287.9185	MRPS18C|51023	294.7254
MRPS21|54460	1808.1155	MRPS21|54460	742.7108
MRPS22|56945	416.4877	MRPS22|56945	450.9788
MRPS23|51649	3416.5336	MRPS23|51649	471.7932
MRPS24|64951	869.6631	MRPS24|64951	597.3404
MRPS25|64432	520.6931	MRPS25|64432	861.3166
MRPS26|64949	868.4124	MRPS26|64949	370.6946
MRPS27|23107	1176.9218	MRPS27|23107	1914.5949
MRPS28|28957	177.8348	MRPS28|28957	146.7713
MRPS2|51116	994.2467	MRPS2|51116	689.1121
MRPS30|10884	862.5757	MRPS30|10884	631.3703
MRPS31|10240	223.8778	MRPS31|10240	427.1909
MRPS33|51650	642.0332	MRPS33|51650	647.5593
MRPS34|65993	859.6574	MRPS34|65993	400.7599
MRPS35|60488	1126.8933	MRPS35|60488	1266.7052
MRPS36|92259	334.3575	MRPS36|92259	310.5641
MRPS5|64969	655.791	MRPS5|64969	604.9393
MRPS6|64968	786.8742	MRPS6|64968	494.874
MRPS7|51081	5654.2276	MRPS7|51081	690.2255
MRPS9|64965	384.3861	MRPS9|64965	506.4839
MRRF|92399	378.1325	MRRF|92399	594.6973
MRS2|57380	651.622	MRS2|57380	685.2234
MRTO4|51154	458.1782	MRTO4|51154	753.2832
MRVI1|10335	686.2251	MRVI1|10335	775.4192
MS4A14|84689	61.7644	MS4A14|84689	76.0155
MS4A1|931	277.2416	MS4A1|931	40.6376
MS4A2|2206	40.0228	MS4A2|2206	43.6111
MS4A4A|51338	262.233	MS4A4A|51338	136.7804
MS4A6A|64231	1067.6928	MS4A6A|64231	635.9957
MS4A7|58475	868.7668	MS4A7|58475	676.2765
MSC|9242	333.4612	MSC|9242	46.2377
MSH2|4436	618.2696	MSH2|4436	996.1179
MSH3|4437	451.6078	MSH3|4437	776.0766
MSH5|4439	120.0685	MSH5|4439	202.5275
MSH6|2956	1555.8882	MSH6|2956	1571.9832
MSI1|4440	19.5945	MSI1|4440	90.1958
MSI2|124540	991.8162	MSI2|124540	397.45599999999996
MSL1|339287	1421.6449	MSL1|339287	2164.0373
MSL2|55167	731.2508	MSL2|55167	1239.9438
MSL3L2|151507	23.3467	MSL3L2|151507	119.6002
MSL3|10943	547.8127	MSL3|10943	698.1085
lowly_expressed	lowly_expressed	MSLN|10232	6.6077
MSMB|4477	471.9361	lowly_expressed	lowly_expressed
MSMP|692094	40.4398	MSMP|692094	45.2631
MSN|4478	7573.9068	MSN|4478	6906.7482
MSR1|4481	1283.6494	MSR1|4481	329.0658
MSRA|4482	137.1616	MSRA|4482	167.5064
MSRB2|22921	676.6362	MSRB2|22921	285.1243
MSRB3|253827	1344.5175	MSRB3|253827	2387.0488
MST1P2|11209	12.0902	MST1P2|11209	110.3494
MST1P9|11223	5.4198	MST1P9|11223	70.3725
MST1R|4486	225.1285	MST1R|4486	108.0367
MST1|4485	16.2593	MST1|4485	75.3283
MST4|51765	298.5037	MST4|51765	460.56
lowly_expressed	lowly_expressed	MSTN|2660	9.9116
MSTO1|55154	994.5010000000001	MSTO1|55154	469.2988
MSTO2P|100129405	81.1755	MSTO2P|100129405	131.8741
MSX1|4487	60.4512	MSX1|4487	46.915
MSX2|4488	148.835	MSX2|4488	237.2181
MT1A|4489	7.0874	lowly_expressed	lowly_expressed
MT1E|4493	280.5768	MT1E|4493	872.2227
MT1F|4494	79.2119	MT1F|4494	64.7559
lowly_expressed	lowly_expressed	MT1G|4495	19.8232
MT1L|4500	18.7607	MT1L|4500	51.5404
MT1M|4499	17.9269	MT1M|4499	45.5935
MT1X|4501	261.3992	MT1X|4501	1114.7269999999999
MT2A|4502	1843.1355	MT2A|4502	1273.313
MTA1|9112	1202.353	MTA1|9112	808.1275
MTA2|9219	1909.8402	MTA2|9219	1475.51
MTA3|57504	1110.2171	MTA3|57504	1122.3259
MTAP|4507	637.4472	MTAP|4507	922.4416
MTBP|27085	51.6962	MTBP|27085	134.4677
MTCH1|23787	2889.9829999999997	MTCH1|23787	3064.6733
MTCH2|23788	1779.7659	MTCH2|23788	1090.6087
MTCP1NB|100272147	204.4876	MTCP1NB|100272147	193.6533
MTCP1|4515	27.3114	MTCP1|4515	30.019000000000002
MTDH|92140	2339.252	MTDH|92140	3730.0735
MTERFD1|51001	248.0583	MTERFD1|51001	226.6457
MTERFD2|130916	532.8041	MTERFD2|130916	565.2928
MTERFD3|80298	253.0611	MTERFD3|80298	718.9229
MTERF|7978	158.0069	MTERF|7978	275.8735
MTF1|4520	616.602	MTF1|4520	848.1044
MTF2|22823	388.1382	MTF2|22823	697.7781
MTFMT|123263	175.5169	MTFMT|123263	186.6689
MTFR1|9650	547.0331	MTFR1|9650	426.5499
MTG1|92170	478.1896	MTG1|92170	333.6913
MTHFD1L|25902	307.2587	MTHFD1L|25902	208.144
MTHFD1|4522	1530.286	MTHFD1|4522	1601.0506
MTHFD2L|441024	144.1781	MTHFD2L|441024	328.0747
MTHFD2|10797	1460.0001	MTHFD2|10797	743.0412
MTHFR|4524	541.1172	MTHFR|4524	801.0804
MTHFSD|64779	259.7316	MTHFSD|64779	358.8007
MTHFS|10588	323.1011	MTHFS|10588	221.3595
MTIF2|4528	569.4918	MTIF2|4528	953.8284
MTIF3|219402	534.4718	MTIF3|219402	755.5959
MTL5|9633	548.6465	MTL5|9633	377.6328
MTM1|4534	331.4392	MTM1|4534	503.8408
MTMR10|54893	760.5675	MTMR10|54893	1345.5984
MTMR11|10903	303.9235	MTMR11|10903	344.594
MTMR12|54545	1199.4347	MTMR12|54545	2614.6857
MTMR14|64419	999.7374	MTMR14|64419	697.7781
MTMR15|22909	347.98199999999997	MTMR15|22909	992.8835
MTMR1|8776	810.0457	MTMR1|8776	983.5632
MTMR2|8898	614.1005	MTMR2|8898	881.1431
MTMR3|8897	1605.4998	MTMR3|8897	2496.407
MTMR4|9110	6329.8633	MTMR4|9110	1513.5046
MTMR6|9107	930.5312	MTMR6|9107	1195.3415
MTMR7|9108	32.7062	MTMR7|9108	58.7065
MTMR8|55613	9.5888	MTMR8|55613	27.0918
MTMR9L|339483	69.2062	MTMR9L|339483	151.6478
MTMR9|66036	374.7931	MTMR9|66036	639.587
MTO1|25821	425.2427	MTO1|25821	485.3391
MTOR|2475	2065.7625	MTOR|2475	1940.0347
MTP18|51537	191.5885	MTP18|51537	136.8729
MTPAP|55149	431.9132	MTPAP|55149	598.2886
MTRF1L|54516	220.9595	MTRF1L|54516	219.0468
MTRF1|9617	75.8766	MTRF1|9617	130.503
MTRR|4552	616.1851	MTRR|4552	722.8876
MTR|4548	1682.2103	MTR|4548	2083.0924
MTSS1L|92154	824.2205	MTSS1L|92154	890.3939999999999
MTSS1|9788	1511.2752	MTSS1|9788	921.7676
lowly_expressed	lowly_expressed	MTTP|4547	5.947
MTUS1|57509	1374.1177	MTUS1|57509	3627.323
MTUS2|23281	7.5043	MTUS2|23281	20.484
MTX1|4580	939.6864	MTX1|4580	357.1488
MTX2|10651	424.8258	MTX2|10651	413.9754
MTX3|345778	563.2382	MTX3|345778	1078.3844
MUC13|56667	18.7607	lowly_expressed	lowly_expressed
MUC15|143662	18.3438	MUC15|143662	530.9325
MUC16|94025	3590.3828	MUC16|94025	1137.8541
MUC1|4582	16978.4419	MUC1|4582	2240.0264
MUC20|200958	77.9612	MUC20|200958	327.0835
MUC2|4583	3527.8471	lowly_expressed	lowly_expressed
MUC4|4585	22.9298	MUC4|4585	336.3344
MUC5B|727897	10521.0057	MUC5B|727897	362.435
MUC6|4588	33.3524	MUC6|4588	208.144
MUC7|4589	26.265	MUC7|4589	87.556
MUCL1|118430	524.466	MUCL1|118430	1211.2001
MUDENG|55745	727.4986	MUDENG|55745	970.6781
MUL1|79594	632.4444	MUL1|79594	750.6401
MUM1L1|139221	52.9469	MUM1L1|139221	122.5737
MUM1|84939	630.7767	MUM1|84939	804.8237
MURC|347273	7.0874	MURC|347273	5.2862
MUS81|80198	423.99199999999996	MUS81|80198	367.3908
MUSTN1|389125	16.6762	MUSTN1|389125	47.8963
MUTED|63915	325.1856	MUTED|63915	506.4839
MUTYH|4595	135.3064	MUTYH|4595	152.07399999999998
MUT|4594	667.8812	MUT|4594	1072.4374
MVD|4597	727.9155	MVD|4597	184.3562
MVK|4598	497.3672	MVK|4598	233.9143
MVP|9961	3391.1024	MVP|9961	1461.9642
MX1|4599	3673.7638	MX1|4599	661.1051
MX2|4600	913.4381	MX2|4600	459.8992
MXD1|4084	278.0754	MXD1|4084	558.0243
MXD3|83463	158.899	MXD3|83463	64.1018
MXD4|10608	1984.0492	MXD4|10608	1496.6548
MXI1|4601	729.5831	MXI1|4601	2586.6028
MXRA5|25878	20369.1274	MXRA5|25878	4874.205
MXRA7|439921	2487.2531	MXRA7|439921	2472.9495
MXRA8|54587	3381.9305	MXRA8|54587	1303.0478
MYADML2|255275	5.8367	lowly_expressed	lowly_expressed
MYADM|91663	5526.9049	MYADM|91663	5434.8724
MYBBP1A|10514	1262.0371	MYBBP1A|10514	1096.0304
MYBL1|4603	68.7893	MYBL1|4603	112.6621
MYBL2|4605	385.6368	MYBL2|4605	74.0068
MYBPC1|4604	90.4683	MYBPC1|4604	2118.4439
MYB|4602	1825.2086	MYB|4602	2042.4548
MYCBP2|23077	2538.5324	MYCBP2|23077	4094.8212
MYCBPAP|84073	7.0874	lowly_expressed	lowly_expressed
MYCBP|26292	857.1560000000001	MYCBP|26292	731.1473
MYCL1|4610	165.0942	MYCL1|4610	208.4744
MYCN|4613	22.5129	MYCN|4613	11.8939
MYCT1|80177	294.3347	MYCT1|80177	532.9148
MYC|4609	1228.618	MYC|4609	4748.3274
MYD88|4615	2129.9659	MYD88|4615	961.7577
MYEF2|50804	403.793	MYEF2|50804	646.0064
MYEOV2|150678	633.2782	MYEOV2|150678	361.7742
MYEOV|26579	65.0371	MYEOV|26579	253.4071
MYH10|4628	2844.5404	MYH10|4628	3448.9139
